Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
03.11.2007,Arsenal,Manchester United,2:02,D,2.44,3.07,2.9
03.11.2007,Aston Villa,Derby,2:00,H,1.4,4.15,8.11
03.11.2007,Blackburn,Liverpool,0:00,D,2.95,3.19,2.37
03.11.2007,Everton,Birmingham,3:01,H,1.7,3.41,5.12
03.11.2007,Fulham,Reading,3:01,H,2.32,3.21,3.02
03.11.2007,Middlesbrough,Tottenham,1:01,D,2.9,3.25,2.35
03.11.2007,Newcastle,Portsmouth,1:04,A,2.02,3.24,3.58
03.11.2007,Wigan,Chelsea,0:02,A,8.17,4.15,1.4
28.10.2007,Bolton,Aston Villa,1:01,D,2.54,3.18,2.73
28.10.2007,Derby,Everton,0:02,A,3.59,3.2,2.06
28.10.2007,Liverpool,Arsenal,1:01,D,2.44,3.14,2.87
28.10.2007,Tottenham,Blackburn,1:02,A,2.17,3.28,3.26
27.10.2007,Birmingham,Wigan,3:02,H,2,3.26,3.73
27.10.2007,Chelsea,Manchester City,6:00,H,1.5,3.85,6.86
27.10.2007,Manchester United,Middlesbrough,4:01,H,1.2,5.9,14.72
27.10.2007,Portsmouth,West Ham,0:00,D,1.73,3.45,4.85
27.10.2007,Reading,Newcastle,2:01,H,2.76,3.22,2.47
27.10.2007,Sunderland,Fulham,1:01,D,1.92,3.3,3.95
22.10.2007,Newcastle,Tottenham,3:01,H,2.33,3.26,2.97
21.10.2007,West Ham,Sunderland,3:01,H,1.87,3.3,4.29
20.10.2007,Arsenal,Bolton,2:00,H,1.24,5.31,12.18
20.10.2007,Aston Villa,Manchester United,1:04,A,4.52,3.39,1.8
20.10.2007,Blackburn,Reading,4:02,H,1.64,3.51,5.47
20.10.2007,Everton,Liverpool,1:02,A,3.54,3.18,2.11
20.10.2007,Fulham,Derby,0:00,D,1.69,3.51,5.15
20.10.2007,Manchester City,Birmingham,1:00,H,1.58,3.62,6.15
20.10.2007,Middlesbrough,Chelsea,0:02,A,5.15,3.46,1.69
20.10.2007,Wigan,Portsmouth,0:02,A,2.87,3.19,2.44
07.10.2007,Arsenal,Sunderland,3:02,H,1.2,5.95,14.39
07.10.2007,Blackburn,Birmingham,2:01,H,1.72,3.44,5.05
07.10.2007,Bolton,Chelsea,0:01,A,5.05,3.46,1.7
07.10.2007,Fulham,Portsmouth,0:02,A,2.6,3.22,2.66
07.10.2007,Liverpool,Tottenham,2:02,D,1.55,3.72,6.13
07.10.2007,Manchester City,Middlesbrough,3:01,H,1.63,3.51,5.49
07.10.2007,Newcastle,Everton,3:02,H,2.04,3.21,3.68
07.10.2007,Reading,Derby,1:00,H,1.67,3.49,5.19
06.10.2007,Aston Villa,West Ham,1:00,H,1.85,3.32,4.3
06.10.2007,Manchester United,Wigan,4:00,H,1.18,6.02,16.39
01.10.2007,Tottenham,Aston Villa,4:04,D,1.91,3.29,4.05
30.09.2007,Everton,Middlesbrough,2:00,H,1.75,3.4,4.69
