"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","result.mat","bet.money"
"2001-09-15","Derby","Leicester","Middlesbrough","West Ham","A","A",3.75,3,11.25,1,0
"2001-09-15","Derby","Leicester","Newcastle","Manchester United","D","H",3.2,3.75,12,0,0
"2001-09-15","Derby","Leicester","Newcastle","Manchester United","A","H",3.75,3.75,14.0625,0,0
"2001-09-15","Derby","Leicester","Newcastle","Manchester United","D","D",3.2,3.25,10.4,0,0
"2001-09-15","Derby","Leicester","Newcastle","Manchester United","A","D",3.75,3.25,12.1875,0,0
"2001-09-15","Everton","Liverpool","Fulham","Arsenal","H","H",3.2,3.25,10.4,0,0
"2001-09-15","Everton","Liverpool","Fulham","Arsenal","D","H",3.2,3.25,10.4,0,0
"2001-09-15","Everton","Liverpool","Fulham","Arsenal","H","D",3.2,3.1,9.92,0,0
"2001-09-15","Everton","Liverpool","Fulham","Arsenal","D","D",3.2,3.1,9.92,0,0
"2001-09-15","Everton","Liverpool","Middlesbrough","West Ham","H","D",3.2,3,9.6,0,0
"2001-09-15","Everton","Liverpool","Middlesbrough","West Ham","D","D",3.2,3,9.6,0,0
"2001-09-15","Everton","Liverpool","Middlesbrough","West Ham","H","A",3.2,3,9.6,0,0
"2001-09-15","Everton","Liverpool","Middlesbrough","West Ham","D","A",3.2,3,9.6,0,0
"2001-09-15","Everton","Liverpool","Newcastle","Manchester United","H","H",3.2,3.75,12,0,0
"2001-09-15","Everton","Liverpool","Newcastle","Manchester United","D","H",3.2,3.75,12,0,0
"2001-09-15","Everton","Liverpool","Newcastle","Manchester United","H","D",3.2,3.25,10.4,0,0
"2001-09-15","Everton","Liverpool","Newcastle","Manchester United","D","D",3.2,3.25,10.4,0,0
"2001-09-15","Fulham","Arsenal","Middlesbrough","West Ham","H","D",3.25,3,9.75,0,0
"2001-09-15","Fulham","Arsenal","Middlesbrough","West Ham","D","D",3.1,3,9.3,0,0
"2001-09-15","Fulham","Arsenal","Middlesbrough","West Ham","H","A",3.25,3,9.75,0,0
"2001-09-15","Fulham","Arsenal","Middlesbrough","West Ham","D","A",3.1,3,9.3,0,0
"2001-09-15","Fulham","Arsenal","Newcastle","Manchester United","H","H",3.25,3.75,12.1875,0,0
"2001-09-15","Fulham","Arsenal","Newcastle","Manchester United","D","H",3.1,3.75,11.625,0,0
"2001-09-15","Fulham","Arsenal","Newcastle","Manchester United","A","H",2.35,3.75,8.8125,0,0
"2001-09-15","Fulham","Arsenal","Newcastle","Manchester United","H","D",3.25,3.25,10.5625,0,0
"2001-09-15","Fulham","Arsenal","Newcastle","Manchester United","D","D",3.1,3.25,10.075,0,0
"2001-09-15","Middlesbrough","West Ham","Newcastle","Manchester United","H","H",2.4,3.75,9,0,0
"2001-09-15","Middlesbrough","West Ham","Newcastle","Manchester United","D","H",3,3.75,11.25,0,0
"2001-09-15","Middlesbrough","West Ham","Newcastle","Manchester United","A","H",3,3.75,11.25,0,0
"2001-09-15","Middlesbrough","West Ham","Newcastle","Manchester United","D","D",3,3.25,9.75,0,0
"2001-09-15","Middlesbrough","West Ham","Newcastle","Manchester United","A","D",3,3.25,9.75,0,0
