Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
10.12.2012,Fulham,Newcastle,2:01,H,2.02,3.47,3.65
09.12.2012,Everton,Tottenham,2:01,H,1.93,3.52,3.92
09.12.2012,Manchester City,Manchester United,2:03,A,2.14,3.39,3.42
09.12.2012,West Ham,Liverpool,2:03,A,3,3.22,2.41
08.12.2012,Arsenal,West Brom,2:00,H,1.54,3.98,6.24
08.12.2012,Aston Villa,Stoke,0:00,D,2.61,3.09,2.85
08.12.2012,Southampton,Reading,1:00,H,1.89,3.61,3.98
08.12.2012,Sunderland,Chelsea,1:03,A,5.93,3.74,1.62
08.12.2012,Swansea,Norwich,3:04,A,1.71,3.73,4.85
08.12.2012,Wigan,QPR,2:02,D,2.19,3.45,3.22
03.12.2012,Newcastle,Wigan,3:00,H,1.99,3.36,3.86
02.12.2012,Norwich,Sunderland,2:01,H,2.04,3.29,3.79
01.12.2012,Arsenal,Swansea,0:02,A,1.45,4.38,7.19
01.12.2012,Fulham,Tottenham,0:03,A,2.91,3.31,2.42
01.12.2012,Liverpool,Southampton,1:00,H,1.37,4.76,8.57
01.12.2012,Manchester City,Everton,1:01,D,1.53,4.04,6.37
01.12.2012,QPR,Aston Villa,1:01,D,1.98,3.42,3.87
01.12.2012,Reading,Manchester United,3:04,A,7.36,4.49,1.43
01.12.2012,West Brom,Stoke,0:01,A,2.13,3.27,3.52
01.12.2012,West Ham,Chelsea,3:01,H,4.46,3.46,1.85
28.11.2012,Chelsea,Fulham,0:00,D,1.42,4.5,7.53
28.11.2012,Everton,Arsenal,1:01,D,2.44,3.38,2.86
28.11.2012,Manchester United,West Ham,1:00,H,1.24,6.16,11.99
28.11.2012,Southampton,Norwich,1:01,D,1.95,3.52,3.87
28.11.2012,Stoke,Newcastle,2:01,H,2.08,3.27,3.73
28.11.2012,Swansea,West Brom,3:01,H,2.25,3.38,3.17
28.11.2012,Tottenham,Liverpool,2:01,H,2.47,3.32,2.88
28.11.2012,Wigan,Manchester City,0:02,A,6.79,4.43,1.46
27.11.2012,Aston Villa,Reading,1:00,H,1.97,3.44,3.85
27.11.2012,Sunderland,QPR,0:00,D,2.33,3.23,3.14
25.11.2012,Chelsea,Manchester City,0:00,D,2.49,3.37,2.79
25.11.2012,Southampton,Newcastle,2:00,H,2.09,3.49,3.39
25.11.2012,Swansea,Liverpool,0:00,D,3.54,3.4,2.08
25.11.2012,Tottenham,West Ham,3:01,H,1.69,3.68,5.11
24.11.2012,Aston Villa,Arsenal,0:00,D,4.54,3.68,1.77
24.11.2012,Everton,Norwich,1:01,D,1.48,4.26,6.81
24.11.2012,Manchester United,QPR,3:01,H,1.17,7.36,15.18
24.11.2012,Stoke,Fulham,1:00,H,2.15,3.31,3.44
24.11.2012,Sunderland,West Brom,2:04,A,2.43,3.29,2.93
24.11.2012,Wigan,Reading,3:02,H,1.91,3.51,4.02
19.11.2012,West Ham,Stoke,1:01,D,2.12,3.22,3.64
18.11.2012,Fulham,Sunderland,1:03,A,1.73,3.64,4.91
17.11.2012,Arsenal,Tottenham,5:02,H,1.95,3.57,3.87
17.11.2012,Liverpool,Wigan,3:00,H,1.45,4.35,7.18
17.11.2012,Manchester City,Aston Villa,5:00,H,1.2,6.58,13.76
17.11.2012,Newcastle,Swansea,1:02,A,2.04,3.38,3.68
17.11.2012,Norwich,Manchester United,1:00,H,6.41,4.28,1.5
17.11.2012,QPR,Southampton,1:03,A,1.92,3.51,3.92
17.11.2012,Reading,Everton,2:01,H,4.37,3.67,1.8
17.11.2012,West Brom,Chelsea,2:01,H,3.58,3.48,2.04
11.11.2012,Chelsea,Liverpool,1:01,D,1.85,3.63,4.17
11.11.2012,Manchester City,Tottenham,2:01,H,1.52,4.4,5.98
11.11.2012,Newcastle,West Ham,0:01,A,1.97,3.49,3.8
10.11.2012,Arsenal,Fulham,3:03,D,1.54,4.05,6.17
10.11.2012,Aston Villa,Manchester United,2:03,A,7.17,4.54,1.43
10.11.2012,Everton,Sunderland,2:01,H,1.41,4.42,8.29
10.11.2012,Reading,Norwich,0:00,D,2.25,3.37,3.16
10.11.2012,Southampton,Swansea,1:01,D,2.44,3.42,2.82
10.11.2012,Stoke,QPR,1:00,H,1.97,3.36,3.98
10.11.2012,Wigan,West Brom,1:02,A,2.19,3.37,3.3
05.11.2012,West Brom,Southampton,2:00,H,1.81,3.65,4.35
04.11.2012,Liverpool,Newcastle,1:01,D,1.6,4.12,5.33
04.11.2012,QPR,Reading,1:01,D,1.86,3.54,4.15
03.11.2012,Fulham,Everton,2:02,D,2.65,3.31,2.62
03.11.2012,Manchester United,Arsenal,2:01,H,1.7,3.82,4.84
03.11.2012,Norwich,Stoke,1:00,H,2.47,3.22,2.91
03.11.2012,Sunderland,Aston Villa,0:01,A,2.01,3.29,3.88
03.11.2012,Swansea,Chelsea,1:01,D,4.26,3.63,1.83
03.11.2012,Tottenham,Wigan,0:01,A,1.48,4.24,6.87
03.11.2012,West Ham,Manchester City,0:00,D,4.84,3.8,1.71
28.10.2012,Chelsea,Manchester United,2:03,A,2.29,3.36,3.11
28.10.2012,Everton,Liverpool,2:02,D,2.62,3.2,2.77
28.10.2012,Newcastle,West Brom,2:01,H,1.93,3.46,3.95
28.10.2012,Southampton,Tottenham,1:02,A,3.66,3.47,2.01
27.10.2012,Arsenal,QPR,1:00,H,1.36,4.81,8.69
27.10.2012,Aston Villa,Norwich,1:01,D,1.95,3.44,3.9
27.10.2012,Manchester City,Swansea,1:00,H,1.22,6.23,12.97
27.10.2012,Reading,Fulham,3:03,D,2.96,3.3,2.4
27.10.2012,Stoke,Sunderland,0:00,D,1.93,3.32,4.18
27.10.2012,Wigan,West Ham,2:01,H,2.24,3.36,3.17
21.10.2012,QPR,Everton,1:01,D,3.38,3.39,2.13
21.10.2012,Sunderland,Newcastle,1:01,D,2.77,3.17,2.62
20.10.2012,Fulham,Aston Villa,1:00,H,1.72,3.66,4.99
20.10.2012,Liverpool,Reading,1:00,H,1.31,5.15,9.74
20.10.2012,Manchester United,Stoke,4:02,H,1.29,5.25,10.73
20.10.2012,Norwich,Arsenal,1:00,H,6.44,4.33,1.49
20.10.2012,Swansea,Wigan,2:01,H,2.08,3.38,3.54
20.10.2012,Tottenham,Chelsea,2:04,A,2.93,3.25,2.46
20.10.2012,West Brom,Manchester City,1:02,A,5.07,3.74,1.69
20.10.2012,West Ham,Southampton,4:01,H,1.83,3.63,4.27
07.10.2012,Liverpool,Stoke,0:00,D,1.49,4.1,7.05
07.10.2012,Newcastle,Manchester United,0:03,A,4.38,3.87,1.75
07.10.2012,Southampton,Fulham,2:02,D,2.52,3.33,2.76
07.10.2012,Tottenham,Aston Villa,2:00,H,1.45,4.3,7.39
06.10.2012,Chelsea,Norwich,4:01,H,1.21,6.33,13.38
06.10.2012,Manchester City,Sunderland,3:00,H,1.29,5.28,11
06.10.2012,Swansea,Reading,2:02,D,1.84,3.58,4.23
06.10.2012,West Brom,QPR,3:02,H,1.83,3.6,4.25
06.10.2012,West Ham,Arsenal,1:03,A,4.06,3.54,1.89
