"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","implied.joint.prob","result.mat","predict.prob","kelly.criterion"
2013-08-24,"Aston Villa","Liverpool","Hull City","Norwich","H","D","4.05","3.24",13.122,0.0690907133128746,0,0.0784400375217283,0.00317163055638651
2013-08-24,"Aston Villa","Liverpool","Hull City","Norwich","D","D","3.78","3.24",12.2472,0.0740257642637943,0,0.0865093337882901,0.00412614504341518
2013-08-24,"Aston Villa","Liverpool","Hull City","Norwich","A","D","1.86","3.24",6.0264,0.150439456407066,0,0.170365231744768,0.0295296670991791
2013-08-24,"Aston Villa","Liverpool","Hull City","Norwich","H","A","4.05","3.1",12.555,0.0722109390753916,0,0.0835830530841042,0.00376467858667091
2013-08-24,"Aston Villa","Liverpool","Hull City","Norwich","D","A","3.78","3.1",11.718,0.0773688632950624,0,0.0917710874584942,0.00482356240616967
2013-08-24,"Aston Villa","Liverpool","Hull City","Norwich","A","A","1.86","3.1",5.766,0.157233496373836,0,0.175065660766537,0.0326744506117668
2013-08-24,"Aston Villa","Liverpool","Newcastle","West Ham","H","H","4.05","2.23",9.0315,0.100259765907043,0,0.12345883341777,0.0105682707076259
2013-08-24,"Aston Villa","Liverpool","Newcastle","West Ham","D","H","3.78","2.23",8.4294,0.107421177757547,0,0.13181947230215,0.0127620454434594
2013-08-24,"Aston Villa","Liverpool","Newcastle","West Ham","H","D","4.05","3.33",13.4865,0.0671409243161282,0,0.0752968576042045,0.00274586162438954
2013-08-24,"Aston Villa","Liverpool","Newcastle","West Ham","D","D","3.78","3.33",12.5874,0.0719367046244231,0,0.0832806136948821,0.00363347550217914
2013-08-24,"Aston Villa","Liverpool","Newcastle","West Ham","A","D","1.86","3.33",6.1938,0.146193948107698,1,0.167399094493878,0.0275075720766298
2013-08-24,"Aston Villa","Liverpool","Newcastle","West Ham","H","A","4.05","3.29",13.3245,0.0679572273473273,0,0.0766784514177233,0.00289088837195833
2013-08-24,"Aston Villa","Liverpool","Newcastle","West Ham","D","A","3.78","3.29",12.4362,0.0728113150149935,0,0.0847010551390727,0.00380455082682973
2013-08-24,"Aston Villa","Liverpool","Newcastle","West Ham","A","A","1.86","3.29",6.1194,0.147971382127245,0,0.168712027194422,0.0282943562721511
2013-08-24,"Aston Villa","Liverpool","Southampton","Sunderland","H","H","4.05","1.64",6.642,0.136656347860832,0,0.159669660029251,0.0236828262514143
2013-08-24,"Aston Villa","Liverpool","Southampton","Sunderland","D","H","3.78","1.64",6.1992,0.146417515565177,0,0.167304133627259,0.0278512186940213
2013-08-24,"Aston Villa","Liverpool","Southampton","Sunderland","A","D","1.86","3.81",7.0866,0.128082784761613,1,0.152303663759422,0.0202603111338349
2013-08-24,"Aston Villa","Liverpool","Southampton","Sunderland","A","A","1.86","5.62",10.4532,0.0868319234771787,0,0.105602927385629,0.00710153576694738
2013-08-24,"Aston Villa","Liverpool","Stoke","Crystal Palace","H","H","4.05","1.87",7.5735,0.120161624179062,0,0.144574645559305,0.0175386142273571
2013-08-24,"Aston Villa","Liverpool","Stoke","Crystal Palace","D","H","3.78","1.87",7.0686,0.128744597334709,0,0.15259612013962,0.0207636089767173
2013-08-24,"Aston Villa","Liverpool","Stoke","Crystal Palace","D","D","3.78","3.42",12.9276,0.070395437723949,0,0.0801679653100197,0.00364994228496089
2013-08-24,"Aston Villa","Liverpool","Stoke","Crystal Palace","A","D","1.86","3.42",6.3612,0.143061696019638,0,0.164476187236344,0.0266488415963973
2013-08-24,"Aston Villa","Liverpool","Stoke","Crystal Palace","A","A","1.86","4.54",8.4444,0.107768942816556,0,0.131605150501639,0.0132969745408109
2013-08-24,"Everton","West Brom","Fulham","Arsenal","H","H","1.56","4.42",6.8952,0.131757924183119,0,0.155438265147912,0.0217870462044889
2013-08-24,"Everton","West Brom","Fulham","Arsenal","D","A","3.99","1.86",7.4214,0.122415883637513,1,0.146951595517061,0.0182070684330954
2013-08-24,"Everton","West Brom","Fulham","Arsenal","A","A","6.27","1.86",11.6622,0.0779010168602359,0,0.0923433472351686,0.00507804903949664
2013-08-24,"Everton","West Brom","Hull City","Norwich","D","H","3.99","2.38",9.4962,0.0952850349643892,1,0.117338175823501,0.00909051075223518
2013-08-24,"Everton","West Brom","Hull City","Norwich","D","D","3.99","3.24",12.9276,0.0699933281528538,0,0.0801679653100197,0.00321896129516499
2013-08-24,"Everton","West Brom","Hull City","Norwich","D","A","3.99","3.1",12.369,0.0731543171662085,0,0.0853398050453685,0.00382634328380952
2013-08-24,"Everton","West Brom","Newcastle","West Ham","D","H","3.99","2.23",8.8977,0.101569579458262,0,0.125274226240417,0.01079794356894
2013-08-24,"Everton","West Brom","Newcastle","West Ham","D","D","3.99","3.33",13.2867,0.0680180667243013,1,0.0770043445149467,0.00278383255715992
2013-08-24,"Everton","West Brom","Newcastle","West Ham","D","A","3.99","3.29",13.1271,0.0688450341008885,0,0.0783951944283349,0.00293235804571008
2013-08-24,"Everton","West Brom","Southampton","Sunderland","D","H","3.99","1.64",6.5436,0.138441653608045,0,0.161340305617462,0.0242311511434452
2013-08-24,"Everton","West Brom","Southampton","Sunderland","A","H","6.27","1.64",10.2828,0.0880992341142105,0,0.1076094004607,0.00727702988425073
2013-08-24,"Everton","West Brom","Southampton","Sunderland","H","D","1.56","3.81",5.9436,0.152417189001548,0,0.171848401104926,0.0303504208987701
2013-08-24,"Everton","West Brom","Southampton","Sunderland","H","A","1.56","5.62",8.7672,0.103329090764395,0,0.127068084342628,0.0115247958553519
2013-08-24,"Everton","West Brom","Stoke","Crystal Palace","D","H","3.99","1.87",7.4613,0.121731439570732,1,0.146324781816277,0.0179331390224391
2013-08-24,"Everton","West Brom","Stoke","Crystal Palace","A","H","6.27","1.87",11.7249,0.0774654615450111,0,0.0917005589530937,0.004967089184129
2013-08-24,"Everton","West Brom","Stoke","Crystal Palace","D","D","3.99","3.42",13.6458,0.0665607578939381,0,0.0739618825751352,0.00282649673332811
2013-08-24,"Everton","West Brom","Stoke","Crystal Palace","H","A","1.56","4.54",7.0824,0.128243927209576,0,0.15237186036369,0.0203853613392374
2013-08-24,"Fulham","Arsenal","Hull City","Norwich","H","H","4.42","2.38",10.5196,0.0863418962985473,0,0.104830553338546,0.00702854308303176
2013-08-24,"Fulham","Arsenal","Hull City","Norwich","D","H","3.53","2.38",8.4014,0.108110816328493,0,0.132220375575199,0.0132431175100712
2013-08-24,"Fulham","Arsenal","Hull City","Norwich","D","D","3.53","3.24",11.4372,0.0794147354511767,0,0.0946854220256785,0.00539604438334605
2013-08-24,"Fulham","Arsenal","Hull City","Norwich","A","D","1.86","3.24",6.0264,0.150717212979921,0,0.170365231744768,0.0298469540962714
2013-08-24,"Fulham","Arsenal","Hull City","Norwich","H","A","4.42","3.1",13.702,0.0662882945775944,0,0.073496427492295,0.00277913219000047
2013-08-24,"Fulham","Arsenal","Hull City","Norwich","D","A","3.53","3.1",10.943,0.0830012073747782,0,0.100028519333589,0.00621993025636395
2013-08-24,"Fulham","Arsenal","Hull City","Norwich","A","A","1.86","3.1",5.766,0.157523796791918,0,0.175065660766537,0.0330076567966352
2013-08-24,"Fulham","Arsenal","Newcastle","West Ham","H","H","4.42","2.23",9.8566,0.0920365942033792,0,0.112784077213786,0.00840420415524062
2013-08-24,"Fulham","Arsenal","Newcastle","West Ham","D","H","3.53","2.23",7.8719,0.115241287926044,0,0.140009029666721,0.0155153315836647
2013-08-24,"Fulham","Arsenal","Newcastle","West Ham","D","D","3.53","3.33",11.7549,0.0771735952177413,0,0.0913945124640557,0.00482285904715125
2013-08-24,"Fulham","Arsenal","Newcastle","West Ham","A","D","1.86","3.33",6.1938,0.14646386619281,1,0.167399094493878,0.0278150110943656
2013-08-24,"Fulham","Arsenal","Newcastle","West Ham","D","A","3.53","3.29",11.6137,0.0781118760106621,0,0.092843495749217,0.00502561868812094
2013-08-24,"Fulham","Arsenal","Newcastle","West Ham","A","A","1.86","3.29",6.1194,0.148244581891203,0,0.168712027194422,0.0286059300232369
2013-08-24,"Fulham","Arsenal","Southampton","Sunderland","H","H","4.42","1.64",7.2488,0.12544797725784,0,0.14969004643978,0.0194262501287842
2013-08-24,"Fulham","Arsenal","Southampton","Sunderland","D","H","3.53","1.64",5.7892,0.157076504101885,0,0.174642596276795,0.0329199766909804
2013-08-24,"Fulham","Arsenal","Southampton","Sunderland","D","D","3.53","3.81",13.4493,0.0676129833929375,0,0.0756119591209526,0.0030848044079996
2013-08-24,"Fulham","Arsenal","Southampton","Sunderland","A","D","1.86","3.81",7.0866,0.12831926418122,1,0.152303663759422,0.0205260339214348
2013-08-24,"Fulham","Arsenal","Southampton","Sunderland","A","A","1.86","5.62",10.4532,0.0869922413755246,0,0.105602927385629,0.00727585131646033
2013-08-24,"Fulham","Arsenal","Stoke","Crystal Palace","H","H","4.42","1.87",8.2654,0.110306128718083,0,0.134183161161057,0.0142828732426678
2013-08-24,"Fulham","Arsenal","Stoke","Crystal Palace","D","H","3.53","1.87",6.6011,0.138117022360886,0,0.160362275641289,0.0247277790093829
2013-08-24,"Fulham","Arsenal","Stoke","Crystal Palace","D","D","3.53","3.42",12.0726,0.0755201262616542,0,0.0882126568988886,0.00480122766930493
2013-08-24,"Fulham","Arsenal","Stoke","Crystal Palace","A","D","1.86","3.42",6.3612,0.143325831023462,0,0.164476187236344,0.0269488586580138
2013-08-24,"Fulham","Arsenal","Stoke","Crystal Palace","A","A","1.86","4.54",8.4444,0.107967916762167,0,0.131605150501639,0.0135170164151012
2013-08-24,"Hull City","Norwich","Newcastle","West Ham","D","H","3.24","2.23",7.2252,0.125051451532395,0,0.150067899057323,0.018677314919595
2013-08-24,"Hull City","Norwich","Newcastle","West Ham","A","H","3.1","2.23",6.913,0.13069893644031,0,0.15514443483578,0.0208416050161105
2013-08-24,"Hull City","Norwich","Newcastle","West Ham","H","D","2.38","3.33",7.9254,0.114003299216678,1,0.139204017220289,0.0147364091295873
2013-08-24,"Hull City","Norwich","Newcastle","West Ham","D","D","3.24","3.33",10.7892,0.0837431642394118,0,0.101748482525207,0.00602314627715927
2013-08-24,"Hull City","Norwich","Newcastle","West Ham","A","D","3.1","3.33",10.323,0.0875251135921595,0,0.107132866751442,0.00693914817594114
2013-08-24,"Hull City","Norwich","Newcastle","West Ham","H","A","2.38","3.29",7.8302,0.115389357565817,0,0.140639333014565,0.0152092209398991
